측정일자,측정소명,미세먼지(㎍/㎥)
20200117,서대문구,55
20200117,마포구,55
20200117,광진구,56
20200117,성동구,53
20200117,중랑구,55
20200117,동대문구,54
20200117,성북구,60
20200117,도봉구,58
20200117,강북구,57
20200117,노원구,47
20200117,강서구,79
20200117,구로구,59
20200117,영등포구,57
20200117,동작구,67
20200117,관악구,57
20200117,금천구,62
20200117,양천구,70
20200117,강남구,51
20200117,서초구,59
20200117,송파구,52
20200117,강동구,60
20200118,중구,62
20200118,종로구,64
20200118,용산구,63
20200118,은평구,59
20200118,서대문구,63
20200118,마포구,65
20200118,광진구,63
20200118,성동구,60
20200118,중랑구,65
20200118,동대문구,60
20200118,성북구,61
20200118,도봉구,62
20200118,강북구,66
20200118,노원구,58
20200118,강서구,86
20200118,구로구,65
20200118,영등포구,67
20200118,동작구,77
20200118,관악구,70
20200118,금천구,71
20200118,양천구,82
20200118,강남구,58
20200118,서초구,76
20200118,송파구,59
20200118,강동구,73
20200119,중구,59
20200119,종로구,61
20200119,용산구,60
20200119,은평구,57
20200119,서대문구,62
20200119,마포구,57
20200119,광진구,58
20200119,성동구,55
20200119,중랑구,60
20200119,동대문구,55
20200119,성북구,57
20200119,도봉구,52
20200119,강북구,63
20200119,노원구,51
20200119,강서구,73
20200119,구로구,60
20200119,영등포구,57
20200119,동작구,76
20200119,관악구,63
20200119,금천구,0
20200119,양천구,71
20200119,강남구,55
20200119,서초구,69
20200119,송파구,55
20200119,강동구,66
20200120,중구,54
20200120,종로구,56
20200120,용산구,55
20200120,은평구,59
20200120,서대문구,59
20200120,마포구,55
20200120,광진구,52
20200120,성동구,52
20200120,중랑구,52
20200120,동대문구,50
20200120,성북구,52
20200120,도봉구,47
20200120,강북구,53
20200120,노원구,44
20200120,강서구,63
20200120,구로구,48
20200120,영등포구,49
20200120,동작구,59
20200120,관악구,52
20200120,금천구,45
20200120,양천구,61
20200120,강남구,49
20200120,서초구,56
20200120,송파구,52
20200120,강동구,62
20200121,중구,42
20200121,종로구,42
20200121,용산구,41
20200121,은평구,42
20200121,서대문구,43
20200121,마포구,42
20200121,광진구,38
20200121,성동구,38
20200121,중랑구,38
20200121,동대문구,37
20200121,성북구,41
20200121,도봉구,39
20200121,강북구,50
20200121,노원구,36
20200121,강서구,62
20200121,구로구,44
20200121,영등포구,43
20200121,동작구,54
20200121,관악구,46
20200121,금천구,50
20200121,양천구,55
20200121,강남구,40
20200121,서초구,49
20200121,송파구,42
20200121,강동구,43
20200122,중구,42
20200122,종로구,43
20200122,용산구,46
20200122,은평구,38
20200122,서대문구,40
20200122,마포구,42
20200122,광진구,43
20200122,성동구,42
20200122,중랑구,43
20200122,동대문구,40
20200122,성북구,45
20200122,도봉구,42
20200122,강북구,46
20200122,노원구,41
20200122,강서구,54
20200122,구로구,45
20200122,영등포구,45
20200122,동작구,58
20200122,관악구,46
20200122,금천구,45
20200122,양천구,52
20200122,강남구,44
20200122,서초구,51
20200122,송파구,44
20200122,강동구,54
20200123,중구,59
20200123,종로구,62
20200123,용산구,62
20200123,은평구,56
20200123,서대문구,59
20200123,마포구,59
20200123,광진구,59
20200123,성동구,59
20200123,중랑구,59
20200123,동대문구,60
20200123,성북구,63
20200123,도봉구,62
20200123,강북구,70
20200123,노원구,52
20200123,강서구,74
20200123,구로구,58
20200123,영등포구,59
20200123,동작구,65
20200123,관악구,62
20200123,금천구,60
20200123,양천구,70
20200123,강남구,57
20200123,서초구,70
20200123,송파구,58
20200123,강동구,65
20200124,중구,71
20200124,종로구,72
20200124,용산구,71
20200124,은평구,69
20200124,서대문구,72
20200124,마포구,69
20200124,광진구,71
20200124,성동구,69
20200124,중랑구,69
20200124,동대문구,65
20200124,성북구,63
20200124,도봉구,61
20200124,강북구,76
20200124,노원구,63
20200124,강서구,84
20200124,구로구,65
20200124,영등포구,66
20200124,동작구,83
20200124,관악구,72
20200124,금천구,74
20200124,양천구,80
20200124,강남구,67
20200124,서초구,80
20200124,송파구,68
20200124,강동구,77
20200125,중구,47
20200125,종로구,50
20200125,용산구,48
20200125,은평구,51
20200125,서대문구,46
20200125,마포구,56
20200125,광진구,42
20200125,성동구,46
20200125,중랑구,44
20200125,동대문구,45
20200125,성북구,44
20200125,도봉구,45
20200125,강북구,55
20200125,노원구,47
20200125,강서구,64
20200125,구로구,47
20200125,영등포구,50
20200125,동작구,59
20200125,관악구,50
20200125,금천구,55
20200125,양천구,62
20200125,강남구,44
20200125,서초구,56
20200125,송파구,44
20200125,강동구,48
20200126,중구,26
20200126,종로구,28
20200126,용산구,26
20200126,은평구,25
20200126,서대문구,25
20200126,마포구,31
20200126,광진구,21
20200126,성동구,26
