광역시도명,시군구명,날짜,시간대별 시간,강수 유형명,습도값,강수량 값,기온값,풍속값,바람강도 유형명,동쪽서쪽바람유형명,풍향값,풍향카테고리명,한식,분식,카페/디저트,돈까스/일식,회,치킨,피자,아시안/양식,중식,족발/보쌈,야식,찜탕,도시락,패스트푸드
서울특별시,서초구,2020-01-01,21,없음,72,0,0.3,0.8,약,east,148,SSE,0,0,0,0,0,1,0,0,0,1,0,0,0,0
서울특별시,서초구,2020-01-01,22,없음,73,0,0.6,0.9,약,east,150,SSE,0,0,0,0,0,3,0,0,0,1,0,0,0,0
서울특별시,서초구,2020-01-01,23,없음,66,0,1.2,1.2,약,east,161,SSE,0,0,0,0,0,2,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,0,없음,76,0,-3.5,0.9,약,east,81,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,11,없음,70,0,0.2,0.9,약,east,53,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,12,없음,70,0,0,0.5,약,east,73,ENE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,13,없음,70,0,0.1,1.1,약,east,77,ENE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,15,없음,70,0,0.1,0.7,약,east,85,E,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,16,없음,70,0,0,1.2,약,east,71,ENE,0,0,4,0,0,0,0,0,0,0,1,0,0,0
서울특별시,성북구,2020-01-01,17,없음,70,0,-0.1,1.2,약,east,66,ENE,0,0,3,0,0,0,0,0,1,0,0,0,0,0
서울특별시,성북구,2020-01-01,18,없음,69,0,0,0.7,약,east,70,ENE,0,0,2,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,19,없음,67,0,0.4,0.1,약,east,183,S,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,20,없음,67,0,0.7,0.3,약,east,108,ESE,0,0,3,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성북구,2020-01-01,21,없음,67,0,0.4,0.6,약,east,104,ESE,0,0,4,0,0,0,0,0,0,0,0,0,0,0
서울특별시,양천구,2020-01-01,0,없음,79,0,-2.6,1.4,약,east,6,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0
서울특별시,양천구,2020-01-01,1,없음,80,0,-2.3,1.2,약,east,116,ESE,0,0,0,0,0,0,0,0,0,0,2,0,0,0
서울특별시,양천구,2020-01-01,11,없음,69,0,0.7,0,약,none,21,NNE,0,1,3,1,0,0,0,0,0,0,0,0,1,0
서울특별시,양천구,2020-01-01,12,없음,70,0,1.2,1.2,약,east,4,N,2,0,3,0,0,0,1,0,0,1,0,0,0,3
서울특별시,양천구,2020-01-01,13,없음,70,0,1,0.5,약,east,56,NE,3,6,2,0,0,0,1,0,0,1,0,0,0,1
서울특별시,양천구,2020-01-01,14,없음,70,0,1,0.6,약,east,4,N,0,1,2,0,1,1,0,0,0,0,0,0,0,4
서울특별시,양천구,2020-01-01,15,없음,70,0,0.8,0.9,약,east,79,E,0,0,4,0,0,0,1,0,0,0,0,1,1,4
서울특별시,양천구,2020-01-01,16,없음,69,0,0.6,1.2,약,east,48,NE,1,2,0,2,0,6,1,0,0,0,1,0,0,1
서울특별시,양천구,2020-01-01,17,없음,69,0,0.7,0.5,약,east,87,E,6,4,4,2,2,6,1,0,0,1,0,0,0,2
서울특별시,양천구,2020-01-01,18,없음,69,0,0.8,0.2,약,east,93,E,6,3,5,2,4,5,5,0,0,0,2,0,0,2
서울특별시,양천구,2020-01-01,19,없음,66,0,0.8,0.4,약,east,57,ENE,8,4,12,3,0,5,1,0,1,0,0,1,0,5
서울특별시,양천구,2020-01-01,20,없음,64,0,1,0.3,약,east,23,NNE,2,2,8,3,1,2,1,0,0,1,1,0,0,2
서울특별시,양천구,2020-01-01,21,없음,63,0,1.1,0.9,약,east,125,SE,3,2,9,2,2,5,1,0,1,0,0,0,0,1
서울특별시,양천구,2020-01-01,22,없음,65,0,1.4,0.9,약,east,171,S,0,1,1,0,1,7,0,0,0,0,2,0,0,2
서울특별시,양천구,2020-01-01,23,없음,64,0,1.9,0.8,약,east,104,ESE,2,0,0,0,1,2,0,0,0,1,1,0,0,1
서울특별시,영등포구,2020-01-01,0,없음,79,0,-2.6,1.4,약,east,6,N,0,0,0,0,1,13,0,0,0,1,4,0,0,0
서울특별시,영등포구,2020-01-01,1,없음,80,0,-2.3,1.2,약,east,116,ESE,0,0,0,0,0,6,0,0,0,0,1,0,0,0
서울특별시,영등포구,2020-01-01,2,없음,74,0,-0.8,1.2,약,east,37,NE,0,0,0,0,0,7,0,0,0,0,2,0,0,0
서울특별시,영등포구,2020-01-01,10,없음,68,0,0.9,0.7,약,east,141,SE,5,1,0,0,0,0,0,0,0,0,0,0,0,1
서울특별시,영등포구,2020-01-01,11,없음,69,0,0.7,0,약,none,21,NNE,3,2,0,0,0,4,6,1,0,1,0,1,0,1
서울특별시,영등포구,2020-01-01,12,없음,70,0,1.2,1.2,약,east,4,N,10,2,0,0,0,7,8,5,0,3,0,1,0,1
서울특별시,영등포구,2020-01-01,13,없음,70,0,1,0.5,약,east,56,NE,3,1,0,0,0,11,6,12,3,0,0,2,0,1
서울특별시,영등포구,2020-01-01,14,없음,70,0,1,0.6,약,east,4,N,6,1,1,0,0,8,6,8,2,1,1,0,0,1
서울특별시,영등포구,2020-01-01,15,없음,70,0,0.8,0.9,약,east,79,E,2,4,1,0,0,9,3,7,3,1,1,0,0,0
서울특별시,영등포구,2020-01-01,16,없음,69,0,0.6,1.2,약,east,48,NE,4,5,1,0,1,14,4,3,0,2,1,1,0,7
서울특별시,영등포구,2020-01-01,17,없음,69,0,0.7,0.5,약,east,87,E,2,11,1,0,1,34,22,10,0,7,1,6,0,6
서울특별시,영등포구,2020-01-01,18,없음,69,0,0.8,0.2,약,east,93,E,7,6,0,1,1,48,8,11,5,5,2,2,0,6
서울특별시,영등포구,2020-01-01,19,없음,66,0,0.8,0.4,약,east,57,ENE,8,12,1,0,1,32,3,9,3,3,2,2,0,13
서울특별시,영등포구,2020-01-01,20,없음,64,0,1,0.3,약,east,23,NNE,2,5,0,0,1,27,6,5,3,4,0,1,0,2
서울특별시,영등포구,2020-01-01,21,없음,63,0,1.1,0.9,약,east,125,SE,2,8,0,0,0,31,3,5,3,0,2,0,0,0
서울특별시,영등포구,2020-01-01,22,없음,65,0,1.4,0.9,약,east,171,S,4,0,1,0,0,21,4,5,0,2,2,1,0,0
서울특별시,영등포구,2020-01-01,23,없음,64,0,1.9,0.8,약,east,104,ESE,5,0,0,0,1,20,5,0,0,1,3,0,0,0
서울특별시,은평구,2020-01-01,0,없음,79,0,-4.2,1.3,약,east,51,NE,0,0,0,0,7,15,0,0,0,12,0,0,0,0
서울특별시,은평구,2020-01-01,1,없음,80,0,-3,1.4,약,east,101,E,0,0,0,0,0,12,0,0,0,9,0,0,0,0
서울특별시,은평구,2020-01-01,10,없음,68,0,-0.3,0.5,약,east,14,NNE,0,3,0,0,0,0,0,1,0,0,0,1,0,0
서울특별시,은평구,2020-01-01,11,없음,69,0,-0.4,1.9,약,east,50,NE,2,12,0,0,2,0,0,0,0,0,0,0,0,4
서울특별시,은평구,2020-01-01,12,없음,70,0,-0.4,1.6,약,east,47,NE,6,13,0,1,2,1,0,0,0,1,0,1,0,0
